datetime,Total ingresos (variacion %)
2014-01-01,
2014-04-01,10.506530666627567
2014-07-01,7.228617612024824
2014-10-01,6.725101577419235
2015-01-01,3.1331541832704035
2015-04-01,2.652428690094766
2015-07-01,9.15422414199809
2015-10-01,9.867013343538433
2016-01-01,4.649777582666115
2016-04-01,4.8935105850506755
2016-07-01,7.994363523140824
2016-10-01,7.463527474281895
2017-01-01,8.95573892778967
2017-04-01,7.697613669274128
2017-07-01,5.230424050815086
2017-10-01,5.820635140870412
2018-01-01,8.511912793630504
2018-04-01,5.60479316828375
2018-07-01,8.49455241139494
2018-10-01,2.15414751959786
2019-01-01,17.011211817574345
2019-04-01,8.812076379360168
2019-07-01,7.210660402987656
2019-10-01,13.89884657441971
2020-01-01,8.131359044865881
2020-04-01,4.630201601283579
2020-07-01,2.6073344426545964
2020-10-01,5.626709910285177
2021-01-01,13.266232119444421
2021-04-01,7.847563307872241
2021-07-01,8.789447895251158
2021-10-01,14.325733028519561
2022-01-01,2.8196688767963884
2022-04-01,16.049964906006164
2022-07-01,9.306716737895627
