indice_tiempo,BUENOS AIRES,CAPITAL FEDERAL,CHACO,CHUBUT,CORDOBA,ENTRE RIOS,JUJUY,NEUQUEN,RIO NEGRO,SALTA,SAN JUAN,SANTA FE,TUCUMAN
2014-01-01,213972149.69734,146337757.92895,9912446.6036696,12470346.004934,57862249.346485,16791357.0,5795778.3994756,13708650.827157,9511339.1971866,7732300.0,8242000.0,58216982.016017,13095631.061269
2015-01-01,215523775.44323,149804609.26194,10178386.572233,12902072.114368,60472675.529865,17778645.0,6017716.9738042,14596783.629797,9805172.4757173,7941700.0,7989000.0,61157166.384768,13421103.273376
2016-01-01,210149312.52779,146422461.29716,9877740.329032,12702739.628612,59122485.319956,16920787.0,5931295.2968353,13906499.402612,9603664.7600749,8073900.0,7704000.0,60129777.724881,13516564.728299
2017-01-01,214095458.57036,150659216.78871,10555918.665573,13039721.893925,60050723.352145,17671807.0,6131640.0141843,14193101.036838,10171375.995833,8294100.0,7957000.0,63186392.743958,14069718.366707
2018-01-01,205812389.60656,149767247.82521,10215601.583142,12954037.370029,56409853.781663,17199456.0,6072700.5458929,15931006.371725,10581363.052023,,7952000.0,60426917.171139,13812589.079394
2019-01-01,202713419.8518,145961071.86238,10030806.022752,12669295.93321,59380096.492483,,5910885.7488734,16589623.484291,10687079.880259,,,59632192.519322,13284523.741209
2020-01-01,183108596.7185,130588443.88166,9728429.8749667,,52970623.949219,,5638358.4580222,13515222.618173,9634335.4995454,,,55535147.609298,12584107.342652
2021-01-01,203344127.71083,144146187.20321,10515446.039914,,58883920.516925,,6038750.0258261,,9650170.43119,,,61448323.78106,13042257.764704
